t	x	y
0.285	0.960169	0.605299
0.286	0.959612	0.602627
0.287	0.95905	0.599948
0.288	0.958481	0.597262
0.289	0.957907	0.594569
0.29	0.957328	0.591868
0.291	0.956742	0.58916
0.292	0.95615	0.586445
0.293	0.955552	0.583723
0.294	0.954949	0.580994
0.295	0.954339	0.578258
0.296	0.953723	0.575514
0.297	0.953101	0.572764
0.298	0.952473	0.570007
0.299	0.951839	0.567243
0.3	0.951198	0.564473
0.301	0.950551	0.561695
0.302	0.949898	0.558911
0.303	0.949239	0.55612
0.304	0.948573	0.553322
0.305	0.947901	0.550518
0.306	0.947222	0.547707
0.307	0.946537	0.54489
0.308	0.945845	0.542066
0.309	0.945146	0.539236
0.31	0.944441	0.536399
0.311	0.94373	0.533556
0.312	0.943011	0.530707
0.313	0.942286	0.527851
0.314	0.941555	0.524989
0.315	0.940816	0.522121
0.316	0.940071	0.519247
0.317	0.939318	0.516367
0.318	0.938559	0.513481
0.319	0.937793	0.510589
0.32	0.93702	0.507691
0.321	0.93624	0.504787
0.322	0.935453	0.501878
0.323	0.934658	0.498962
0.324	0.933857	0.496041
0.325	0.933048	0.493114
0.326	0.932232	0.490182
0.327	0.931409	0.487244
0.328	0.930579	0.4843
0.329	0.929741	0.481352
0.33	0.928896	0.478397
0.331	0.928044	0.475438
0.332	0.927184	0.472473
0.333	0.926317	0.469503
0.334	0.925442	0.466528
0.335	0.92456	0.463547
0.336	0.92367	0.460562
0.337	0.922773	0.457572
0.338	0.921868	0.454576
0.339	0.920955	0.451576
0.34	0.920035	0.448571
0.341	0.919106	0.445561
0.342	0.918171	0.442547
0.343	0.917227	0.439528
0.344	0.916275	0.436505
0.345	0.915316	0.433477
0.346	0.914348	0.430444
0.347	0.913373	0.427407
0.348	0.91239	0.424366
0.349	0.911398	0.421321
0.35	0.910399	0.418271
0.351	0.909392	0.415218
0.352	0.908376	0.41216
0.353	0.907353	0.409099
0.354	0.906321	0.406033
0.355	0.905281	0.402964
0.356	0.904232	0.399891
0.357	0.903176	0.396814
0.358	0.902111	0.393733
0.359	0.901038	0.390649
0.36	0.899956	0.387562
0.361	0.898866	0.384471
0.362	0.897768	0.381377
0.363	0.896661	0.37828
0.364	0.895546	0.375179
0.365	0.894422	0.372075
0.366	0.89329	0.368968
0.367	0.892149	0.365859
0.368	0.891	0.362746
0.369	0.889842	0.359631
0.37	0.888675	0.356513
0.371	0.8875	0.353392
0.372	0.886315	0.350268
0.373	0.885123	0.347143
0.374	0.883921	0.344014
0.375	0.882711	0.340884
0.376	0.881492	0.337751
0.377	0.880264	0.334616
0.378	0.879027	0.331479
0.379	0.877781	0.32834
0.38	0.876527	0.325198
0.381	0.875263	0.322056
0.382	0.873991	0.318911
0.383	0.872709	0.315764
0.384	0.871419	0.312617
0.385	0.87012	0.309467
0.386	0.868811	0.306316
0.387	0.867494	0.303164
0.388	0.866167	0.300011
0.389	0.864832	0.296856
0.39	0.863487	0.2937
0.391	0.862133	0.290544
0.392	0.86077	0.287386
0.393	0.859398	0.284228
0.394	0.858017	0.281069
0.395	0.856627	0.277909
0.396	0.855227	0.274749
0.397	0.853818	0.271588
0.398	0.8524	0.268427
0.399	0.850973	0.265266
0.4	0.849536	0.262104
0.401	0.848091	0.258943
0.402	0.846636	0.255782
0.403	0.845171	0.25262
0.404	0.843698	0.249459
0.405	0.842215	0.246298
0.406	0.840723	0.243138
0.407	0.839221	0.239978
0.408	0.83771	0.236819
0.409	0.83619	0.23366
0.41	0.834661	0.230502
0.411	0.833122	0.227345
0.412	0.831574	0.224189
0.413	0.830016	0.221035
0.414	0.828449	0.217881
0.415	0.826873	0.214728
0.416	0.825288	0.211577
0.417	0.823693	0.208428
0.418	0.822088	0.20528
0.419	0.820475	0.202134
0.42	0.818852	0.198989
0.421	0.81722	0.195847
0.422	0.815578	0.192706
0.423	0.813927	0.189568
0.424	0.812267	0.186432
0.425	0.810598	0.183298
0.426	0.808919	0.180166
0.427	0.807231	0.177037
0.428	0.805533	0.173911
0.429	0.803827	0.170787
0.43	0.802111	0.167666
0.431	0.800386	0.164548
0.432	0.798651	0.161433
0.433	0.796908	0.158321
0.434	0.795155	0.155213
0.435	0.793393	0.152107
0.436	0.791622	0.149006
0.437	0.789841	0.145907
0.438	0.788052	0.142813
0.439	0.786253	0.139722
0.44	0.784446	0.136635
0.441	0.782629	0.133552
0.442	0.780803	0.130473
0.443	0.778968	0.127398
0.444	0.777125	0.124328
0.445	0.775272	0.121261
0.446	0.77341	0.1182
0.447	0.77154	0.115143
0.448	0.76966	0.11209
0.449	0.767772	0.109043
0.45	0.765875	0.106
0.451	0.763969	0.102963
0.452	0.762055	0.0999302
0.453	0.760131	0.096903
0.454	0.758199	0.0938811
0.455	0.756259	0.0908646
0.456	0.75431	0.0878537
0.457	0.752352	0.0848484
0.458	0.750386	0.0818488
0.459	0.748411	0.0788551
0.46	0.746428	0.0758674
0.461	0.744436	0.0728857
0.462	0.742436	0.0699102
0.463	0.740428	0.0669409
0.464	0.738412	0.0639779
0.465	0.736387	0.0610215
0.466	0.734355	0.0580716
0.467	0.732314	0.0551283
0.468	0.730265	0.0521918
0.469	0.728208	0.0492622
0.47	0.726144	0.0463395
0.471	0.724071	0.0434239
0.472	0.721991	0.0405154
0.473	0.719903	0.0376142
0.474	0.717807	0.0347203
0.475	0.715704	0.0318339
0.476	0.713593	0.028955
0.477	0.711474	0.0260837
0.478	0.709348	0.0232202
0.479	0.707215	0.0203644
0.48	0.705075	0.0175166
0.481	0.702927	0.0146768
0.482	0.700772	0.0118451
0.483	0.69861	0.00902151
0.484	0.696441	0.00620623
0.485	0.694265	0.00339929
0.486	0.692083	0.000600804
0.487	0.689893	-0.00218916
0.488	0.687697	-0.00497051
0.489	0.685494	-0.00774316
0.49	0.683285	-0.010507
0.491	0.681069	-0.013262
0.492	0.678846	-0.0160081
0.493	0.676618	-0.0187452
0.494	0.674383	-0.0214731
0.495	0.672142	-0.0241919
0.496	0.669895	-0.0269014
0.497	0.667642	-0.0296016
0.498	0.665384	-0.0322923
0.499	0.663119	-0.0349736
0.5	0.660849	-0.0376454
0.501	0.658573	-0.0403075
0.502	0.656292	-0.04296
0.503	0.654005	-0.0456027
0.504	0.651713	-0.0482356
0.505	0.649416	-0.0508586
0.506	0.647113	-0.0534716
0.507	0.644806	-0.0560747
0.508	0.642494	-0.0586677
0.509	0.640177	-0.0612505
0.51	0.637855	-0.0638232
0.511	0.635528	-0.0663856
0.512	0.633197	-0.0689378
0.513	0.630862	-0.0714796
0.514	0.628522	-0.074011
0.515	0.626178	-0.0765319
0.516	0.62383	-0.0790424
0.517	0.621478	-0.0815423
0.518	0.619122	-0.0840317
0.519	0.616762	-0.0865104
0.52	0.614399	-0.0889785
0.521	0.612032	-0.0914359
0.522	0.609662	-0.0938826
0.523	0.607288	-0.0963184
0.524	0.604911	-0.0987435
0.525	0.602531	-0.101158
0.526	0.600148	-0.103561
0.527	0.597762	-0.105954
0.528	0.595373	-0.108335
0.529	0.592982	-0.110706
0.53	0.590588	-0.113066
0.531	0.588192	-0.115414
0.532	0.585793	-0.117752
0.533	0.583392	-0.120079
0.534	0.580989	-0.122395
0.535	0.578584	-0.124699
0.536	0.576178	-0.126993
0.537	0.573769	-0.129275
0.538	0.571359	-0.131547
0.539	0.568948	-0.133808
0.54	0.566535	-0.136057
0.541	0.564121	-0.138295
0.542	0.561705	-0.140523
0.543	0.559289	-0.142739
0.544	0.556872	-0.144945
0.545	0.554454	-0.147139
0.546	0.552035	-0.149322
0.547	0.549616	-0.151495
0.548	0.547197	-0.153656
0.549	0.544777	-0.155807
0.55	0.542357	-0.157946
0.551	0.539936	-0.160075
0.552	0.537516	-0.162193
0.553	0.535097	-0.1643
0.554	0.532677	-0.166396
0.555	0.530258	-0.168481
0.556	0.527839	-0.170556
0.557	0.525421	-0.17262
0.558	0.523004	-0.174674
0.559	0.520588	-0.176716
0.56	0.518172	-0.178749
0.561	0.515758	-0.180771
0.562	0.513345	-0.182782
0.563	0.510933	-0.184783
0.564	0.508523	-0.186774
0.565	0.506114	-0.188754
0.566	0.503707	-0.190724
0.567	0.501302	-0.192684
0.568	0.498899	-0.194634
0.569	0.496497	-0.196574
0.57	0.494098	-0.198504
0.571	0.491701	-0.200424
0.572	0.489306	-0.202335
0.573	0.486914	-0.204235
0.574	0.484525	-0.206127
0.575	0.482137	-0.208008
0.576	0.479753	-0.20988
0.577	0.477372	-0.211743
0.578	0.474993	-0.213597
0.579	0.472618	-0.215441
0.58	0.470245	-0.217276
0.581	0.467876	-0.219102
0.582	0.465511	-0.22092
0.583	0.463148	-0.222728
0.584	0.46079	-0.224528
0.585	0.458434	-0.22632
0.586	0.456083	-0.228103
0.587	0.453735	-0.229878
0.588	0.451391	-0.231644
0.589	0.449052	-0.233402
0.59	0.446716	-0.235153
0.591	0.444384	-0.236895
0.592	0.442057	-0.23863
0.593	0.439733	-0.240357
0.594	0.437415	-0.242077
0.595	0.4351	-0.243789
0.596	0.43279	-0.245494
0.597	0.430485	-0.247192
0.598	0.428184	-0.248883
0.599	0.425888	-0.250568
0.6	0.423597	-0.252245
0.601	0.421311	-0.253916
0.602	0.419029	-0.255581
0.603	0.416753	-0.25724
0.604	0.414481	-0.258892
0.605	0.412215	-0.260539
0.606	0.409954	-0.262179
0.607	0.407697	-0.263814
0.608	0.405447	-0.265444
0.609	0.403201	-0.267068
0.61	0.400961	-0.268688
0.611	0.398726	-0.270302
0.612	0.396496	-0.271911
0.613	0.394272	-0.273516
0.614	0.392053	-0.275116
0.615	0.38984	-0.276712
0.616	0.387632	-0.278304
0.617	0.38543	-0.279891
0.618	0.383233	-0.281475
0.619	0.381042	-0.283056
0.62	0.378857	-0.284632
0.621	0.376677	-0.286206
0.622	0.374502	-0.287776
0.623	0.372334	-0.289344
0.624	0.370171	-0.290909
0.625	0.368014	-0.292471
0.626	0.365862	-0.294031
0.627	0.363716	-0.295588
0.628	0.361576	-0.297144
0.629	0.359441	-0.298698
0.63	0.357312	-0.30025
0.631	0.355188	-0.301801
0.632	0.353071	-0.30335
0.633	0.350958	-0.304899
0.634	0.348852	-0.306446
0.635	0.346751	-0.307993
0.636	0.344655	-0.309539
0.637	0.342565	-0.311085
0.638	0.34048	-0.312631
0.639	0.338401	-0.314177
0.64	0.336327	-0.315723
0.641	0.334259	-0.31727
0.642	0.332196	-0.318818
0.643	0.330138	-0.320366
0.644	0.328085	-0.321915
0.645	0.326038	-0.323466
0.646	0.323996	-0.325018
0.647	0.321958	-0.326572
0.648	0.319926	-0.328127
0.649	0.317899	-0.329685
0.65	0.315876	-0.331245
0.651	0.313859	-0.332807
0.652	0.311846	-0.334372
0.653	0.309837	-0.33594
0.654	0.307834	-0.337511
0.655	0.305834	-0.339086
0.656	0.303839	-0.340663
0.657	0.301849	-0.342244
0.658	0.299863	-0.34383
0.659	0.297881	-0.345419
